,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
alt.atheism,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
comp.graphics,0,44,2,0,2,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0
comp.os.ms-windows.misc,0,4,54,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
comp.sys.ibm.pc.hardware,0,0,5,31,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
comp.sys.mac.hardware,0,1,0,2,50,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
comp.windows.x,0,1,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc.forsale,0,0,1,2,0,1,43,1,0,0,0,0,0,0,0,0,0,0,0,0
rec.autos,0,0,0,0,0,0,8,42,1,0,0,0,0,0,0,0,0,0,0,0
rec.motorcycles,0,1,0,0,1,1,0,3,42,1,0,0,1,0,0,0,1,0,0,0
rec.sport.baseball,0,0,0,0,0,0,2,0,0,42,1,0,0,0,0,0,0,0,0,0
rec.sport.hockey,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
sci.crypt,0,0,1,1,1,0,0,0,0,0,0,55,1,0,1,0,0,0,1,0
sci.electronics,0,0,0,0,2,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0
sci.med,0,0,0,0,0,0,0,0,0,0,0,0,1,54,1,0,1,0,0,1
sci.space,0,0,0,0,1,0,1,0,0,1,0,0,0,2,53,0,0,0,1,0
soc.religion.christian,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,5
talk.politics.guns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0,2,0
talk.politics.mideast,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,50,0,0
talk.politics.misc,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,31,1
talk.religion.misc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22